id,duration
5lm33OxxPj3m8RnGAiPfMN,108942
0ASYuzPsTBA6ZmIsuvNZby,96000
5BBLZEFIhoIjyW7IE5aJ29,231804
3qAvjZ84KUD5cCWkt4iCcb,401573
0v41o4M1HlHQip9Gm9MLw3,362848
6GF94BB8YPas2XiseQQ1M6,322622
3cUd7rYtiPHAJzjJYzD5kv,114782
3NyW36inlELYuRP0Cvml5j,149262
2BirbjcIsHDyoNTfzAfkyG,317177
2p6LQRALG9o3qKq8gOWX9f,353813
43mulJ5Q7ECMNpqpmtflNt,446053
4JLI9AgtAXutJvjlXgZBoR,108078
3hPL9Jr1RZhDzyHzxF7MU8,284160
2Pu2q4i2DQSjJZiMuWyAEU,353898
4ZFseyLstY6ZrXBzlXmuR0,220645
3npxGyRpSmxS7mlN5ndjNS,477120
55kDJdv7pymmG4URJlVTYR,453506
3AUc5jJMnFqfMbjXDvGT1S,340645
6qCOlFvjbRJrcETTfew1yJ,230000
1PLUHhDbSiVHRImD3gAg2s,104564
5g6ZeD9bbljkDGqpi72NrX,387540
3ilkEyg6OCtd9qCnOJkPzU,511031
3xkPrnW0BCUvlEmCUztB7s,162260
57BGVV6wcyhbn3hsjlqEZB,135746
3gsOIUj1c5C0LbqMK4w8Eh,228571
2mGpfyZuvwQT7qimhly4S1,247500
7cDlVNC3d0RRW4p2qmiMLm,102176
6K8zRwaiHUv93In5P0TPwT,223066
4lKnuzUB4RGtBHCFBpuIdg,352531
59RSFDVkDSqpGvQKq9GeSR,243957
0ND8TPHStmpP4KrxDjsy6U,418074
4NhjnnWze7g8tQtljTuDrp,256004
5mZguEIizwlG9d2Dl0rrMa,349200
3GPRq1ghFTRjmHlr3peyqB,311878
0GmSvZQaTbJbC9YANJasAi,282337
3oyZxb3L7cM7iWLgNsxLye,445634
7jqnaD5U9gbjCxGhSLsjac,386132
7bIXxtS6oLDBNzrQpqHS62,120000
5FA3tfPhY3BSKr4vr9OVON,457627
0DtvmA9qyTtrcCW4CcobHl,380149
6nbIfACWMDWND1UHMjUlcI,409187
0TsXdSKxK3Snezeuw88RnO,445799
3cCLvbMCHMgX7DLXPr1ALv,184938
2QrIrL1elVeWitAJgpHWFa,342432
5t8J9ECz67TqADvHEJsfxA,560205
7iVgrIsWElZyCc9WnM6IbA,415493
5OD430qJRfyeeakhXdgBsA,126007
73IdeGI8Gt1XxcaQ6vBsyD,132360
3sxSn1ivt3dvZMzjepAw5o,154666
4iKxhBx1KqQsu7N9lxbrrC,406202
2nTPWZMSY7OsjoqfW68920,250161
7lE2Fn4wks90gUCnej39Vt,134025
5HaWmrFzQlZgcWe3wh1bFZ,293299
0SDh7AAKlUSzzzXfuB1aVw,133206
0PPpehRoJCBZYmZSUEJcot,367619
09FhTsmePmERV5mWBpYBOH,605000
63DQm30ycUr6xP2M1RUA57,389106
0rYfDnwdsArNfvV4HWgXvd,227899
3RID7FNOsH3XqUcEsgpq5v,324266
3u3hb7ujL00n4oVXqqbjPp,401880
1u73tmG4xQschbK8cXxSD9,493795
3rbEuM5sUVfLQs3mHDW7oD,375914
6ssrBC8UBchaQVtwmUXsIa,446002
1euNZ7FaW4NAKTzVVtJft3,304267
4E9EKL1n5DXmyvdtPSMQMf,361198
6RCpbjtm1Y4kdi1X3o7RZW,476250
7FXy91VYxCQVFtFcSjr4jD,111780
2pOYPDczUGvJ7NIkPxaOjo,506174
310jIXa4Kz1nJ7fgNkRSxU,278250
1Rjxtgbwj9gEhxWhp8yvQm,369885
5CFJRZRq6sdKKtRwNPWbYv,174960
4X6wlKIW5Zs0q9FuT9bCWp,317106
1qKZDGIqDqv6zmhk1sIuFh,265493
0R7PBooCMiE4gJlE8pEpi6,466440
2w5djAOvSZ0dEVb9kVJHir,358611
38qAaZpFyxhPoLnsr6d7bX,460266
5Ro7HtqBc58pbvP4GU5xlu,194015
6fxq63aKjMmi1WMI9iKX5w,246706
7vsbFkHZ4LGvynNp4naHRs,158943
44uuBBCvzcM0fG6Vy0sY6Q,524820
4a59Q01wZdgKFMYJ9MaCgw,89250
56dDonzTxrZKWuVDqUOYGd,230013
1BqraLNiOqrwM44Xy95rPZ,336445
1D9DJXFwwB91MBatZ7wnSv,204137
1TgQz1HSg5HeAW0zy76Rir,306025
51iwAFeSk8J8VuFcGPXTVw,131000
2k7Xotewk2JITPGL4adKZ2,390483
74lV5FmHUsOobeO2LhvK2R,138040
4WlBtGJRZgJjWikusfISrj,176000
7BoU173GKi4Eur88VvvGLu,110335
6E47RDd8CCCiDxZweBjljs,540333
1kC1TZKf0h9gUx71SoQbEW,393084
7732ds1F9hj1Hp4QdVfQg1,366418
0s2HlRZzjWlhmfLdp4rDEy,306685
3pg6nt0YcPJgyalgpCKARz,461500
4AiI4vY2SnkfGN6MbZpXtf,181638
2I8BB7WoANarcMzzia4Z6G,313338
6IR6lNKONhV6tPn1dbq5lD,137142
1tjIm4IxluEhyFikkpLrIL,374069
0PSpfF2PBA15I1creD4Noi,244360
7d2RpBy2qTpFnzXd5jwX5F,206129
7zaekywYAg9HuOEK1XXrz0,436142
0mGBzPiKtjB83h5csdIRXT,505846
7BKiJ7xesRpNzMceQtYUtb,348158
2VhbfT4qyB4KFhVEDplXxX,196363
38annVnZbE4wHVk6BGlkUC,334069
070Dvl8zCIEWss2P6ct7Y3,386776
5vG7iwUFxDI8xSDfya1Ist,219474
0BD9XqvXSSxlHsdBlLKhqA,93635
2rzpeCJ9pACIsbDo071pQz,254640
4vtwT7ra53ez68E5ciZH39,350250
7CzYfo3MrC7JO1p9ML6hSu,518400
3TNAmgqpB4xrgQB57CIA85,362773
2IRZnDFmlqMuOrYOLnZZyc,180522
0GJPN9x51c454tJcYEv5ix,161880
0ChWJz4t3KBaf4nTm3Du7i,396516
6u9JYXS4Kk0MbI05MYMAq2,476015
6EfKRwGZtOv0kmW8a0aPKF,207001
0chpQTaECrCZBusarf71Ql,166666
7MRf7Gedblua9grX8eIEeS,320606
1ogn7ehtJxvDK99Aq7zJWF,187272
4pP3auN41oQmWgjLrBuum5,201759
5noFr0H7xkDdpVa3jCdiDk,351723
1Tip6R4swhC7E6hgILBjrE,220636
0nbXyq5TXYPCO7pr3N8S4I,196652
7yeEUB4nWLkpzGDrMgKRLM,180000
7floNISpH8VF4z4459Qo18,126345
26CbOaU48hRjpyDmRnapQZ,325293
6czqMjEbVWsgm0yJu5OfC2,312580
2Ex1aAHCnY2vDiQ3EgOair,317010
64tfD6eMT7nr0aKxVGj7UN,199079
6rU2rpvNqwa2DBPS47jElC,254500
73ZVLl6BaU3ztALoynaRVD,123250
6Pw3fM8ebsY1PvifMxffqL,372529
35V6qXUDCvwZdmbKe5PlPG,199047
0uYmQ3X53P03KWj83u5I59,225021
6XqabzL6O6C0Qhdy1HPRKd,188050
3fOyW8hSiOpCaXmQP4zpQH,420132
6j3W3f1rYdOJtXRMPOttEd,577894
3zGIJWti3JfeOBrmcSfNBy,294208
7nSBHckG4tTFkp0xqNZDs5,321502
73aNvGkS7d8kQFFRrR2qeU,390269
75rGONmoi48LLYBFaGiYsv,229424
6zH4BJNWPU4V8hdfQByHor,416354
4yM5fvpdwv2edIUNKDa6Jd,316030
7jPdY7JO6uvH39lcBYsSzs,269160
1XLxesShwxhyMvr1tzdfP4,201737
7HlvFIJDmcQRRn45aRd46t,400115
6CbTrX2MUTNUdat5mJtQaV,439484
6WVKFbzx9mvQ8slBPkGgvF,427076
4bhRjJyGSpVzNF8A1t46aP,172288
3RXpeuxTgxqMzqGXVLRiCy,366829
5JoZoNgWr89fi1OqU3IgAH,473509
1FhL2aL7lUMtDFcgUZBhjd,221571
7Kyqt8MflBNrQd1ReAb5OE,206500
34c4s6SQirXLhT6xZOb5sm,463240
4U9kJBr61UhO5srPib7zyz,255529
3UItVZw258EIbQ4Sbz2uR3,196000
53KyNFzAgQt5UabjlGif2N,267906
48JxEAGsZtyzRPvX2PCbyC,110561
6eycPOvoj75561WxYZQzSh,632906
4kdKKsPHWsyNrvFsZrcg52,121080
2kyZaqz0Z9GNOgBFX1SJ3t,127228
51AXmIbm2qrVgGw4VnvGLM,266466
77USyndX2lw1Sy82Rt2JIq,208938
4Pz65vGuB61XxFcYiYqUg1,354184
5cAuPoihbdCOjC0BaaZAoP,422933
7zBITWuMaUu3b128ZaL91P,94242
1XWLdjLUzNDxW7ggw8uQnM,157524
5kAwEqCAJ4yHdHmlAMSczs,421700
1HmAx26E2PIQBWhRv0VSAV,404957
6T5hiZikP7CNI2uXdWYlCg,421935
0YDF7cthGHQyNu7vHYGmyb,467692
51VGufKIcDTooIr4WZzegi,173000
3wScL5W8H40zzCKN0atfBk,194184
23KI52rsanoqgtoBCSrDTt,331474
3YphbgGJ1GfEGhMmIOthk6,144968
0QswOQrUWKn93eOYBh6wWC,238186
5zzKtYC7jBR2W6hNkRLITj,245040
5G45wCSoiEpoDEWdVRrplj,413661
3PpMfZDmJRjsiUCUwYPFqT,468480
0INjPGttUBs9H4ImaWMlln,464516
0ZySWu0DWvNiauygdVoZfG,179021
0MUWPO9pLVRlyGE9Ds8Mu0,472540
6Ozh9Ok6h4Oi1wUSLtBseN,159714
0zJizi0TxtttqT8yaiuut4,138050
1yGOmwYLU8pTta6fWFvvR4,142312
2JzjJXF1FbbSWaphUxTUFS,366572
7pDspg2l98EwYQRcBpmQWK,84315
1jaTQ3nqY3oAAYyCTbIvnM,139741
2lB6qZBFeTubZjzgn6aJA9,276596
7vDYxgZ7KJLNOdCe6u5AqQ,356584
4rjS6r417hZ3JVm0kZS524,223907
0KFF0INOF9PT3GYWbVjfI4,149318
